,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt,risk_M,risk_Tu,risk_Th,risk_F,risk_Jan,risk_Feb,risk_May,risk_Dec,risk_ntd_cnt,emotion_M,emotion_Tu,emotion_Th,emotion_F,emotion_Jan,emotion_Feb,emotion_May,emotion_Dec,emotion_ntd_cnt,news_M,news_Tu,news_Th,news_F,news_Jan,news_Feb,news_May,news_Dec,news_ntd_cnt
2008-02-15,-0.012572614111858726,0.0001580706256057092,0.00031276713125584824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-1.4144695680305643,-0.0,-1.4144695680305643,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-18,0.02184470367978797,0.000477191078857742,0.00031368960344359763,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1.4337009634042244,-0.0,-0.0,-0.0,-0.0,-1.4337009634042244,-0.0,-0.0,-2.8674019268084487,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-19,0.02466577805087411,0.000608400606854983,0.00011899610875959264,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-1.4611743846010556,-0.0,-0.0,-0.0,-1.4611743846010556,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-20,-0.01883189224216686,0.00035464016542058433,0.0003353923702432583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4365009177986496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-21,-0.009178033745921965,8.423630344128238e-05,0.0004559698712759008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.4244707243671746,-0.0,-0.0,-1.4244707243671746,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-22,-0.03788618075832595,0.0014353626924525475,0.0005358644450369517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-1.4496732583140575,-0.0,-1.4496732583140575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-25,-0.043766591022611934,0.0019155144897405755,0.0008984477885392796,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1.4284372455727914,-0.0,-0.0,-0.0,-0.0,-1.4284372455727914,-0.0,-0.0,-2.856874491145583,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-26,-0.01027103222486403,0.00010549410296419533,0.001459769187253852,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-1.2846847254037543,-0.0,-0.0,-0.0,-1.2846847254037543,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-27,0.02728474775074119,0.0007444574598215764,0.0004262978551011345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2168500695833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-28,-0.006237509027435806,3.890651886734317e-05,0.00027603232856731534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.208928370461035,-0.0,-0.0,-1.208928370461035,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-29,0.01076433102252139,0.00011587082236241638,0.000184783762587512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-1.207691984358363,-0.0,-1.207691984358363,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-03,0.022719765786174406,0.0005161877573786212,0.0005048582842077257,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1.1014060349005488,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2028120698010976,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-04,-0.027638985680299655,0.0007639135294358094,0.0003745882690314444,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-1.1230056337131562,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-05,-0.009252496189768422,8.560868574167916e-05,0.0006649989569257506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-06,0.006065709803527497,3.6792835420609586e-05,0.0005477443470736407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.118506067393547,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-07,-0.008656040646053853,7.49270396661364e-05,0.0004183348568722785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-1.1198433444645293,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-10,-0.04587987728808862,0.0021049631399700703,0.00040463244752784306,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-0.9796581537133199,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9593163074266398,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-11,-0.0031894879823770594,1.0172833589727686e-05,0.0010119178037274765,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.9796435366085567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-12,-0.03204615986355286,0.0010269563620003861,0.0007627159607766767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-13,-0.02865355393426583,0.0008210261530638808,0.0013669004944086454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.9929369997807647,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-14,-0.009042304974141047,8.176327924537591e-05,0.0006102845907666263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-0.9925427709754314,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-17,-0.045140710557832975,0.0020376837496660534,0.0007974818308925634,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-0.9970234572709422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9940469145418844,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-18,-0.055956191618424356,0.003131095380437824,0.0015385203915848928,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-1.0039024179690994,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-19,0.043493732240646565,0.0018917047442210586,0.001704971210962351,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-20,0.037940368508328604,0.0014394715625477728,0.0018487525777493522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.1794589610421113,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-21,0.012494858637488448,0.00015612149237081969,0.000819564583625864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-1.169816487678776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-24,-0.04630094763922621,0.002143777752290367,0.0010696239715453088,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1.1754041443832188,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.3508082887664377,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-25,0.024810588341129147,0.0006155652938329736,0.001622634836660679,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-1.2065092326166722,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-26,0.004592752191207694,2.1093372689843074e-05,0.0004642872089938024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-27,-0.02839836708870358,0.0008064672533047626,0.001063558125585618,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.1869864374301191,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28,0.043390224999598104,0.0018827116255157482,0.0011196483579439553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-1.255791031391027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,-0.0289481439394077,0.0008379950375366667,0.0009880690230273143,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1.2390090781357919,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.4780181562715837,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,-0.0653516531890741,0.004270838574545019,0.001177728475513445,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-1.3199256587362038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-02,-0.009383713834839824,8.805408533416432e-05,0.002231376481032879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-03,0.024697670728132337,0.0006099749393952449,0.0011086915974683534,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.3001249402470478,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
